row_id,row_number,description,title,brand,model,category,condition,sku,upc,quantity,retail_value,notes,base_cost,ideal_price
1,1,cenozo Modern Chandeliers LED Dimmable Light Acrylic Balls Ceiling Pendant Lighting for Living Room Dining Room Bedroom Adjustable Hanging Lights 90 Watts Black Lamp,,cenozo,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,700.70,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69669 | LPN: LPNNA6DYPQFZQ,43.45,86.90
2,2,500ml Teflon Lined Hydrothermal Synthesis Autoclave Reactor 220℃ 3Mpa 304 Steel High Pressure Hydrothermal PTFE Hydrothermal Reactor Digestion Tank PTFE Vessel,,Rebrisbol,,MIXED_BUILDING_AND_INDUSTRIAL,USED_GOOD,,747165688949,1,622.70,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69685 | LPN: LPNNA6H4HSC7R,38.62,77.24
3,3,"MOOONICHE Large Crystal Caged Ceiling Fan with Light 10 Lights Vintage Bronze Crystal Chandelier Fan 34"" Flush Mounted Ceiling Fan Light Fixture for Living Room Dining Room Hotel Foyer",,MOOONICHE,,BUILDING_AND_HARDWARE,USED_GOOD,,733241241603,1,584.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69648 | LPN: LPNNA6JXLP9P2,36.28,72.56
4,4,"TOCHIC French Empire Crystal Chandelier, 9-Light Farmhouse Antique Bronze Chandelier Vintage Rustic Ceiling Light Fixture for Dining Living Room, Bedroom, Kitchen Island, Bathroom, Foyer, 24"" W",,TOCHIC,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,350.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69729 | LPN: LPNNA6PTRQ8QC,21.77,43.54
5,5,"WASSERMANN 3/4 HP Sewage Pump 2 inch Discharge with Auto Float Switch, 115V 7200 GPH Cast Iron Submersible Sewage Pump, Sump Pump for Basement Sump Basin Sewer Well 2"" NPT Discharge with 10 FT Cable",,wassermann,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,341.89,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69648 | LPN: LPNNA63HHZ96Q,21.20,42.40
6,6,"Boho Ceiling Fans with Lights and Remote, Wood Beaded 52 inch Ceiling Fan with Light,6 Speed Reversible Motor LED Flush Mount Ceiling Fans, Ceiling Fan Light for Bedroom Living Room(Wood Blades)",,HITOO,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,337.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69856 | LPN: LPNNA6N4HCCTV,20.96,41.92
7,7,"B2855 2HP Pool Pump Motor Replaces Century/AO Smith Regal Beloit B855 Swimming Pool Pump Motors, 230V, 10A, 3450RPM 1.5KW 56Y Frame 1.1 SF Include Replace Parts, Single Phase Square Flange Leungoo",,LEUNGOO,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,337.84,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69532 | LPN: LPNNA6654MJV8,20.95,41.90
8,8,SANYCASA 33 Inch Undermount Kitchen Sink with Quiet Drain - 11 Gauge Stainless Steel Sink Single Bowl - Multifunctional Handmade Modern Integrated Ledge Workstation,,SANYCASA,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,306.14,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69745 | LPN: LPNNA6N67TTPJ,18.98,37.96
9,9,KCO Lighting 12-Light Glass Globe Sputnik Chandelier Light Fixture Mid Century Modern Chandeliers Brushed Brass Chandelier Milk White Glass Ceiling Light Fixture (Gold+White),,KCO,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,297.69,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69532 | LPN: LPNNA632WNRHX,18.46,36.92
10,10,"Gutter Guards 6 inch, Aluminum Leaf Filter Rain Gutter Covers with Screws Included, 64 PCS 216FT DIY Gutter Guards Protection for 5-inch and 6-inch Gutters, Fits Any Roof or Gutter Type (Mill Finish)",,PPOLB,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,292.49,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69519 | LPN: LPNNK5KZYVCG6,18.14,36.28
11,11,"22"" Boho Wood Beaded Chandelier Farmhouse Rattan Pendant Light Fixtures Bohemia Large Rattan Chandeliers for Dining Room Living Room Kitchen Island Entryway Foyer, White, 5-Lights",,Pavloatu,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,289.24,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-68868 | LPN: LPNNA6SCGKZWS,17.94,35.88
12,12,"COCOSTAR 24"" Crystal Chandeliers, Flush Mount Chandelier LED Ceiling Light, Modern Crystal Raindrop Chandeliers for Dining Room, Living Room, Bedroom",,COCOSTAR,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,285.87,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69856 | LPN: LPNNK5XHBKLX7,17.73,35.46
13,13,"Black utility sink, 25x18 Inch Stainless Steel Freestanding Laundry Sink Practicality With Accessories-Black Faucet,Soap Dispenser, SS Sink Grid, Colander For Laundry,Garage,Outdoor Kitchen,Garden...",,FAUENPEEY,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,279.37,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69856 | LPN: LPNNA6DCDC5M1,17.32,34.64
14,14,"Acquaer Shallow/Deep Well Jet Pump, Cast Iron Convertible Pump with Ejector Kit, Well Depth Up to 25ft or 90ft, 115V/230V Dual Voltage, Automatic Pressure Switch,1HP",,Acquaer,,BUILDING_AND_HARDWARE,USED_GOOD,,744985596416,1,271.69,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69172 | LPN: LPNNA62Q8FYWG,16.85,33.70
15,15,"602208 Cast Iron Shallow Well Jet Pump, 1 HP 23 GPM 115/230V Dual Voltage, RJS-100-PREM Shallow Well Jet Pump for Home, Irrigation & Agriculture",,czobloik,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,493.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69648 | LPN: LPNNA6WFX9NW6,30.63,61.26
16,16,"JGWSMQ Tiffany Chandelier 11 Lights Cream Brown Stained Glass Pendant Light Chain Adjustable Victorian Hang Lighting Fixtures for Living Room Dining Room Bedroom Hotel,35 inch",,JGWSMQ,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,479.62,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69172 | LPN: LPNNA6BNM5KD2,29.74,59.48
17,17,"Wedding Electric Butterfly Floor Lamp: Giant Moving LED Butterflies Decoration with Movement & Lights Up - Big Movable Butterfly Props with Flapping Wings - for Birthday Party (White Light, 31.4 IN)",,YM sky,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,452.61,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69742 | LPN: LPNNA6X17SZY8,28.07,56.14
18,18,"TODOLUZ 2-Packs Large 3-Lights LED Outdoor Wall Light Fixture, Dimmable 5CCT Waterproof Exterior Porch Wall Sconce Lighting for Garage Front Door (3000K/3500K/4500K/5000K/6000K)",,TODOLUZ,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,441.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69648 | LPN: LPNNA6Z17TF5Z,27.41,54.82
19,19,Drydiet 323 Sqft Uncoupling Membrane for Tile 1/8''(3mm) Thick Waterproofing Membrane Crack Prevention Anti Fracture Flooring Underlayment for Bathroom Shower Kitchen Basement(Blue),,Drydiet,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,415.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69519 | LPN: LPNNA67Q58C49,25.80,51.60
20,20,"HKDQ Egg Incubator - 2026 New Egg Incubator with Automatic Egg Turning and Humidity Control,Large Poultry Hatcher for Chickens Birds Ducks (288 Eggs)",,HKDQ,,MIXED_BUILDING_AND_INDUSTRIAL,USED_GOOD,,,1,389.97,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69172 | LPN: LPNNA6JM14Q6K,24.18,48.36
21,21,"Emliviar 32 Inch Outdoor Front Door Hanging Light, Farmhouse Exterior Pendant Lantern Waterproof Ceiling Mount with Seeded Glass, Black Finish, XE283H BK",,Emliviar,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,376.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69399 | LPN: LPNNA651134MZ,23.38,46.76
22,22,"Wellmet Firework Cryatsl Chandelier 30 inch, Gold Fiore Chandeliers Mid Century Modern Contemporary Brass Chandelier Light Fixture for Dining Room Living Room Bedroom Hallway Entryway Foyer",,Wellmet,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,369.27,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69729 | LPN: LPNNA6DV7HL7H,22.90,45.80
23,23,"Gefolly SL-9800W Solar Street Lights Outdoor, 860000LM Commercial Parking Lot Light, 6500K Dusk to Dawn IP67 Security Flood Lights Motion Sensor Led Lamp for Basketball Court, Road, Yard",,Gefolly,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,358.14,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69302 | LPN: LPNNA6JSHS7MH,22.21,44.42
24,24,"Electric Tankless Water Heater SIVUATEK 24kW, 240V - On-Demand Hot Water for Whole House - ETL Certified, Self Modulating - Compact Design for Easy Installation - for 4 Point of Use Hot Water",,SIVUATEK,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,350.34,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69699 | LPN: LPNNA6BXGSM8X,21.73,43.46
25,25,"B2855 2HP Pool Pump Motor Replaces Century/AO Smith Regal Beloit B855 Swimming Pool Pump Motors, 230V, 10A, 3450RPM 1.5KW 56Y Frame 1.1 SF Include Replace Parts, Single Phase Square Flange Leungoo",,LEUNGOO,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,337.84,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-68868 | LPN: LPNNA6XKYXCHP,20.95,41.90
26,26,"VNN Portable Wheelchair Ramp 6FT, Seamless Non-Slip Aluminum Ramps for Wheelchairs for Home, Handicap Wheelchair Ramps for Home Steps, Aluminum Loading Dock Plates, Doorways",,VNN,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,324.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69644 | LPN: LPNNA6ZXGLC81,20.15,40.30
27,27,"ThermoMate Electric Tank Water Heater, 8.0 Gallon Point of Use Instant Small Hot Water Heater 120V 1440W, Wall or Floor Mounted, Plug-in to Use, UL Listed ES800",,thermomate,,BUILDING_AND_HARDWARE,USED_GOOD,,850066581056,1,321.09,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69648 | LPN: LPNNA63NJ4YZS,19.91,39.82
28,28,Dual Door Magnetic Lock 1200lbs Holding Force Electromagnetic Lock 12V Fail Safe for Double Door Access Control System,,YUANWIN,,BUILDING_AND_HARDWARE,USED_GOOD,,769894490037,1,311.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69661 | LPN: LPNNA6RXFPDGF,19.35,38.70
29,29,"Portable Bathtub for Adult- Extra Large 56"" Foldable Collapsible tub. Ergonomically Designed for the Ultimate Relaxing Soaking Bath, Ice Bath. Ideal for Small Spaces, Quick, Effortless Folding Bathtub",,ELDERFLOWER & BERRIES,,BUILDING_AND_HARDWARE,USED_GOOD,,195893088607,1,311.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69849 | LPN: LPNNA6KZWZHXW,19.35,38.70
30,30,"HermnJakk Black Wagon Wheel Chandelier 53-Inch 24-Light,Extra Large Round Rustic Farmhouse Chandelier Metal Circle Chandeliers for Dining Room Living Room High Ceilings",,HermnJakk,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,297.70,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69644 | LPN: LPNNA6QJNKZVL,18.46,36.92
31,31,"IDYLLOR Black Bathroom Mirror Medicine Cabinet with Round Corner Framed Door 30 x 25.6 inch, Recessed or Surface Mount, with Adjustable Glass Shelves",,IDYLLOR,,BUILDING_AND_HARDWARE,USED_GOOD,,762283936352,1,285.86,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69172 | LPN: LPNNK5DXMLSNT,17.73,35.46
32,32,"GOALPLUS Dusk to Dawn Outdoor Post Light Fixture, 24in High Bronze Post Lantern with Pier Mount, Exterior Pole Lighting with Seeded Glass for Yard, Garden, Patio and Pathway, 2 Pack, LMMS0519-M-2P",,GOALPLUS,,BUILDING_AND_HARDWARE,USED_GOOD,,792933856167,1,271.69,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69742 | LPN: LPNNA6713FK7J,16.85,33.70
33,33,"Panasonic WhisperWarm Ceiling Mount Bathroom Exhaust Fan with LED Light & Heater, 50-80-110 CFM, FV-0511VHL1",,Panasonic,,BUILDING_AND_HARDWARE,USED_GOOD,,885170374188,1,506.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69172 | LPN: LPNNA66DNTF6V,31.44,62.88
34,34,"TETOTE 24 x 30 White Led Lighted Medicine Cabinet Mirror with 3-Color Lights, Wall Mount or Recessed Cabinet Mirror for Bathroom with Storage, Tempered Glass, 2 Outlets, Anti-Fog, Adjustable Shelf",,TETOTE,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,376.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69685 | LPN: LPNNA6CRD98CH,23.38,46.76
35,35,Puvaue Modern Luxury K9 Crystal Chandelier 8-Lights Gold Round Pendant Light Easy Install Ceiling Hanging Light Fixture for Dining Living Room Kitchen Island Entryway Foyer D23.6,,Puvaue,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,368.94,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69856 | LPN: LPNNA6C8KVQS8,22.88,45.76
36,36,"CROSSIO Modern Crystal Chandelier for Dining Room, 12-Light Luxury Black 2 Tiers Crystal Raindrop Chandelier, Contemporary Hanging Light Fixture for Living Room Entryway Foyer D19.7''",,CROSSIO,,BUILDING_AND_HARDWARE,USED_GOOD,,733241251787,1,345.79,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69685 | LPN: LPNNA6LPS62B5,21.44,42.88
37,37,"Dcolora Black Bar Sink with Faucet, 15""x20"" Drop In Small Kitchen Sink, Heavy Duty 16 Gauge 304 Stainless Steel Gunmetal Black Nano-PVD, Workstation with Valued Accessories #DC-SFDOE00131",,Dcolora,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,337.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69532 | LPN: LPNNA66NMPMB7,20.96,41.92
38,38,"VNN Portable Wheelchair Ramp 6FT, Seamless Non-Slip Aluminum Ramps for Wheelchairs for Home, Handicap Wheelchair Ramps for Home Steps, Aluminum Loading Dock Plates, Doorways",,VNN,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,324.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69644 | LPN: LPNNA6RSGW4D4,20.15,40.30
39,39,"JAYNLT Y-9800W Solar Street Lights Outdoor, 750000LM 6500K High Powered Commercial Parking Lot Lights Dusk to Dawn, Waterproof Solar Security Flood Lamps with Remote for Driveways, Basketball Courts",,JAYNLT,,BUILDING_AND_HARDWARE,USED_GOOD,,769293569297,1,317.68,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69532 | LPN: LPNNA63Q9R6WL,19.70,39.40
40,40,"5 HP Air Compressor Electric Motor, 230V Air Compressor Motor 3450 RPM, Single Phase Motor, 56HZ Frame 7/8"" Keyed Shaft for Air Compressor",,GCCSJ,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,311.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69519 | LPN: LPNNK5NDLWL5P,19.35,38.70
41,41,"AIDPATH 1 HP Sewage Pump Submersible, Stainless Pump Casing, E-Coated Semi-Open Cast Iron Impeller, Auto Float Switch, 115V, 2"" NPT Discharge for Sump Basin, Sewage Well, Basement, Septic Tank, Trash",,AIDPATH,,MIXED_BUILDING_AND_INDUSTRIAL,USED_GOOD,,,1,311.84,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69685 | LPN: LPNNK5P8LHMGF,19.34,38.68
42,42,"Gutter Guards 6 inch, Aluminum Leaf Filter Rain Gutter Covers with Screws Included, 64 PCS 216FT DIY Gutter Guards Protection for 5-inch and 6-inch Gutters, Fits Any Roof or Gutter Type (Mill Finish)",,PPOLB,,BUILDING_AND_HARDWARE,USED_GOOD,,,1,292.49,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69519 | LPN: LPNNA6BRBHS2M,18.14,36.28
43,43,"WABON Modern K9 Crystal Pendant Lighting, Round Chrome Crystal Chandelier Contemporary Luxury Pendant Ceiling Lighting Fixture for Dining Living Room Kitchen Island Bedroom Foyer Hallway",,WABON,,BUILDING_AND_HARDWARE,USED_GOOD,,604787210999,1,285.99,Lot: AMZ_3PL_20260409_025 | Pallet: LIQ:3PL:PALLET:LNRM:PAL-69661 | LPN: LPNNA6SDN2WBM,17.73,35.46
